asset_id;tipo_asset;area_geografica;eta_anni;temperatura_media;vibrazione_indice;carico_pct;umidita_media;manutenzioni_ultimi_5anni;giorni_da_ultima_manutenzione;criticita_utenza;guasto_entro_30gg
AST-00001;linea_AT;Sud;19;50,8;1,98;33,6;59,3;3;356;standard;1
AST-00002;linea_AT;Centro;13;27,9;2,05;90,3;67,3;2;163;alta;0
AST-00003;linea_AT;Sud;19;53,8;3,56;83,8;61,8;5;300;alta;0
AST-00004;cabina_primaria;Sud;19;53,2;1,58;49,4;62,0;3;341;alta;0
AST-00005;cabina_primaria;Nord;6;41,4;3,17;73,2;37,3;5;15;standard;0
AST-00006;trasformatore;Isole;16;40,9;2,29;89,6;69,3;0;500;alta;1
AST-00007;linea_AT;Sud;22;14,1;2,57;92,4;78,4;3;513;standard;0
AST-00008;trasformatore;Sud;19;30,8;1,87;60,7;76,3;1;354;standard;0
AST-00009;trasformatore;Nord;21;46,7;1,42;28,2;75,3;3;213;standard;0
AST-00010;cabina_primaria;Centro;19;52,8;1,89;51,8;61,3;5;296;standard;0
AST-00011;linea_AT;Nord;16;48,6;1,83;81,8;64,0;6;54;standard;0
AST-00012;cabina_primaria;Isole;21;41,3;0,23;100,0;78,7;1;454;alta;0
AST-00013;turbina_eolica;Centro;16;59,3;6,08;67,0;74,1;3;176;standard;1
AST-00014;turbina_eolica;Sud;25;51,0;2,44;57,1;82,8;2;523;critica;0
AST-00015;turbina_eolica;Centro;21;38,5;3,54;100,0;52,6;4;195;standard;1
AST-00016;trasformatore;Nord;13;61,6;2,03;75,3;52,5;1;233;standard;1
AST-00017;trasformatore;Centro;23;32,1;1,11;45,9;57,3;5;196;standard;0
AST-00018;turbina_eolica;Nord;14;28,8;3,06;65,9;48,8;5;336;standard;0
AST-00019;trasformatore;Sud;28;38,2;0,39;86,0;43,5;3;299;standard;0
AST-00020;cabina_primaria;Centro;14;35,2;2,51;66,7;68,6;4;303;standard;0
AST-00021;trasformatore;Sud;12;38,7;3,04;82,3;67,6;2;390;standard;0
AST-00022;trasformatore;Nord;16;49,2;1,56;39,1;65,4;3;192;standard;0
AST-00023;linea_AT;Isole;29;41,7;2,34;42,2;67,0;0;398;standard;0
AST-00024;trasformatore;Isole;28;41,9;0,24;54,8;41,5;3;327;standard;0
